id,CH_Minutos,OPERACOES_FORECAST,INI_VIGENCIA,CH,GRUPO,Consolidado,ACD,SEGMENTOS_CALCULADORA_FIN,DUMMY,SERVIDOR,OPERACOES,SKILL,SEGMENTOS,FIM_VIGENCIA,ALTERACAO,CHAMADO
recIQpr3nORQND736,588,ATIVO DE CUSTÓDIA **,2000-01-01,35280,PAT,ALELO PAT BKO,1,PA,0,TSM_011,ATIVO DE CUSTÓDIA **,331,ALELO PAT BKO,2024-10-17,,
recJLDqZLSjtRVPu7,588,AJUSTE PARA DISPONIBILIZAÇÃO ON-LINE (CELULA EMPRESARIAL),2000-01-01,35280,PAT,ALELO PAT BKO,1,PA,0,TSM_011,AJUSTE PARA DISPONIBILIZAÇÃO ON-LINE (CELULA EMPRESARIAL),329,ALELO PAT BKO,2024-10-17,2024-09-11,
recKkU3vxZ2IOoL2h,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 15,849,Officer,2024-10-17,2024-09-18,
recKrpNaFZayvE07m,588,TIER 3,2000-01-01,35280,PAT,PREMIUM,1,PA,0,TSM_011,TIER 3,370,PREMIUM,2024-10-17,,TKT-00685117
recLmwM6sIhow8F2U,588,AJUSTE CONTESTAÇÃO (EMISSOR),2000-01-01,35280,PAT,ALELO PAT BKO,1,PA,0,TSM_011,AJUSTE CONTESTAÇÃO (EMISSOR),333,ALELO PAT BKO,2024-10-17,2024-09-11,
recMAPa5wFacH7DCF,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,834,Officer,2024-04-15,,
recMLSu2NUOt9xE3P,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 04,835,Officer,2024-10-17,2024-09-18,
recMW3nhq0eBKHtkK,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,833,Officer,2024-06-04,,
recMkwxXVBzmEZJ4I,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER,389,Officer,2024-10-17,2024-09-18,
recNN7A1mpRRXxywX,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,835,Officer,2024-06-04,,
recNVB0mixGzDt37S,588,PREMIUM Premium,2000-01-01,35280,PAT,PREMIUM,1,PA,0,TSM_011,PREMIUM Premium,321,PREMIUM,2024-10-17,,TKT-00685117
recNozaqNRIClFjCx,588,ACOMPANHAMENTO ENTREGA DE CARTÕES,2000-01-01,35280,PAT,ALELO PAT BKO,1,PA,0,TSM_011,ACOMPANHAMENTO ENTREGA DE CARTÕES,332,ALELO PAT BKO,2024-10-17,2024-09-11,
recOICOUnZUukNHtC,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,849,Officer,2024-06-04,,
recOJFiRpPGAO9Ski,588,Cartão de Crédito,2023-10-24,35280,PAT,CAE,1,SPEECH,0,TSM_011,Cartão de Crédito,365,CAE,2024-10-17,,
recOScZbbCGzXWueW,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 13,845,Officer,2024-10-17,2024-09-18,
recPJW2jsr7e3YOHd,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,847,Officer,2024-04-15,,
recPfIJebofKCPxaK,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 01,832,Officer,2024-10-17,2024-09-18,
